Source,Target,Type,Id,Label,Weight
DAMHC2SEHRQBXV3PUYY2GRZUGBILUBP6PKMQ7KMDEMWTQLORAMQWBE67SM,BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,Undirected,0,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,350338509,Undirected,1,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,KQJ4AIA45IMW7OZVNGJBOFUN5OS3T3ZBCLS43JN7YYQ6JLYX4D7KZ2BUYE,Undirected,2,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,E7NXHPJV4QGLQBAOYVQBTLPCZVPABP4UJEO7XHINHXCC3KX3ZPXTM4PP5U,Undirected,3,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,AUR635PQMRAEOBEQ2VGP3IKO6P432EJNYAIIZ5DEDOPIYKJ7NDPIA7PU5Q,Undirected,4,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,X7RXVXU77HZZOORUX2FVFY3JS6QZL3VHCHKKJP7NUOQK2GUUO4OL3EUPRA,Undirected,5,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,BH3TWVWXJVTGG4EXXTA6FDAJTBGTC6CRFFU3DK5AMC5RM55R7KVI5QVV7A,Undirected,6,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,BIOXLMOA6P3BSPDCE56VLMDHUFU6ONMLDDHNK7SYOWSH3BDEWW6JURFA5U,Undirected,7,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,25IQMQ4USCRUERMSQYFUK2B3MYZPRS7EAAZCXWNKH3EJWJ77UP52UJJ2BE,Undirected,8,,1
BLZXVKU6V4EZ7CZ2EFJBKDB2MQMY4UZGWNS7XAOMRWR3Q644WCNAENA3Z4,FGAM2MIPJJD7CJSMS6N3DBJL2DA7KXLCBHKWXA3X6ZRJUDFADI5F6AVQPE,Undirected,9,,1
